"Sector ID","Full sector name","Sector cluster name (April 2023 onwards)","Sector cluster name (before April 2023)","name","Sub sector name","Sub sub sector name","Start date","End date"
"SL0363","Airports : Airport design, engineering, management and build","Sustainability and Infrastructure","Energy and infrastructure","Airports","Airport design, engineering, management and build","","01/04/2021",""
"SL0050","Automotive","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","","","",""
"SL0051","Automotive : Component manufacturing","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Component manufacturing","","",""
"SL0052","Automotive : Component manufacturing : Bodies and coachwork","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Component manufacturing","Bodies and coachwork","",""
"SL0053","Automotive : Component manufacturing : Electronic components","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Component manufacturing","Electronic components","",""
"SL0054","Automotive : Component manufacturing : Engines and transmission","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Component manufacturing","Engines and transmission","",""
"SL0055","Automotive : Component manufacturing : Tyres","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Component manufacturing","Tyres","",""
"SL0056","Automotive : Design engineering","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Design engineering","","",""
"SL0057","Automotive : Maintenance","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Maintenance","","",""
"SL0058","Automotive : Manufacturing and assembly","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Manufacturing and assembly","","",""
"SL0059","Automotive : Manufacturing and assembly : Agricultural machinery","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Manufacturing and assembly","Agricultural machinery","",""
"SL0060","Automotive : Manufacturing and assembly : Bicycles","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Manufacturing and assembly","Bicycles","",""
"SL0061","Automotive : Manufacturing and assembly : Caravans","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Manufacturing and assembly","Caravans","",""
"SL0062","Automotive : Manufacturing and assembly : Cars","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Manufacturing and assembly","Cars","",""
"SL0065","Automotive : Manufacturing and assembly : Lorries","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Manufacturing and assembly","Lorries","",""
"SL0066","Automotive : Manufacturing and assembly : Motorcycles","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Manufacturing and assembly","Motorcycles","",""
"SL0067","Automotive : Manufacturing and assembly : Trailers","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Manufacturing and assembly","Trailers","",""
"SL0069","Automotive : Motorsport","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Motorsport","","",""
"SL0070","Automotive : Retail","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Retail","","",""
"SL0357","Automotive : Manufacturing and assembly : Buses","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Manufacturing and assembly","Buses","01/04/2021",""
"SL0385","Automotive : Component manufacturing : Connectivity and automation","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Component manufacturing","Connectivity and automation","01/04/2021",""
"SL0386","Automotive : Component manufacturing : Electric vehicle components","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Automotive","Component manufacturing","Electric vehicle components","01/04/2021",""
"SL0071","Chemicals","Science and Technology","Healthcare, Life sciences and Bio-Economy","Chemicals","","","",""
"SL0348","Chemicals : Agricultural chemicals","Science and Technology","Healthcare, Life sciences and Bio-Economy","Chemicals","Agricultural chemicals","","",""
"SL0072","Chemicals : Basic chemicals","Science and Technology","Healthcare, Life sciences and Bio-Economy","Chemicals","Basic chemicals","","",""
"SL0073","Chemicals : Cleaning preparations","Science and Technology","Healthcare, Life sciences and Bio-Economy","Chemicals","Cleaning preparations","","",""
"SL0074","Chemicals : Miscellaneous chemicals","Science and Technology","Healthcare, Life sciences and Bio-Economy","Chemicals","Miscellaneous chemicals","","",""
"SL0075","Chemicals : Paint, coating and adhesive products","Science and Technology","Healthcare, Life sciences and Bio-Economy","Chemicals","Paint, coating and adhesive products","","",""
"SL0076","Chemicals : Synthetic materials","Science and Technology","Healthcare, Life sciences and Bio-Economy","Chemicals","Synthetic materials","","",""
"SL0379","Chemicals : Speciality and fine chemical ingredients","Science and Technology","Healthcare, Life sciences and Bio-Economy","Chemicals","Speciality and fine chemical ingredients","","01/04/2021",""
"SL0077","Construction","Sustainability and Infrastructure","Energy and infrastructure","Construction","","","",""
"SL0352","Construction : Pre-cast structural, fit-out and components","Sustainability and Infrastructure","Energy and infrastructure","Construction","Pre-cast structural, fit-out and components","","01/04/2021",""
"SL0353","Construction : New materials and technologies","Sustainability and Infrastructure","Energy and infrastructure","Construction","New materials and technologies","","01/04/2021",""
"SL0354","Construction : Construction materials, equipment and tools","Sustainability and Infrastructure","Energy and infrastructure","Construction","Construction materials, equipment and tools","","01/04/2021",""
"SL0355","Construction : Specialised construction vehicles","Sustainability and Infrastructure","Energy and infrastructure","Construction","Specialised construction vehicles","","01/04/2021",""
"SL0356","Construction : Design, engineering, management and build","Sustainability and Infrastructure","Energy and infrastructure","Construction","Design, engineering, management and build","","01/04/2021",""
"SL0078","Consumer and retail","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","","","",""
"SL0079","Consumer and retail : Clothing, footwear and fashion","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Clothing, footwear and fashion","","",""
"SL0080","Consumer and retail : Clothing, footwear and fashion : Accessories, bags and luggage","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Clothing, footwear and fashion","Accessories, bags and luggage","",""
"SL0081","Consumer and retail : Clothing, footwear and fashion : Children's apparel","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Clothing, footwear and fashion","Children's apparel","",""
"SL0083","Consumer and retail : Clothing, footwear and fashion : Men's apparel","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Clothing, footwear and fashion","Men's apparel","",""
"SL0085","Consumer and retail : Clothing, footwear and fashion : Sports and leisurewear","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Clothing, footwear and fashion","Sports and leisurewear","",""
"SL0086","Consumer and retail : Clothing, footwear and fashion : Women's apparel","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Clothing, footwear and fashion","Women's apparel","",""
"SL0088","Consumer and retail : Cosmetics and beauty","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Cosmetics and beauty","","",""
"SL0100","Consumer and retail : Electronic consumer products","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Electronic consumer products","","",""
"SL0089","Consumer and retail : Furniture and furnishings","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Furniture and furnishings","","",""
"SL0090","Consumer and retail : Giftware","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Giftware","","",""
"SL0091","Consumer and retail : Household goods","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Household goods","","",""
"SL0092","Consumer and retail : Jewellery","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Jewellery","","",""
"SL0093","Consumer and retail : Leisure and tourism","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Leisure and tourism","","",""
"SL0095","Consumer and retail : Leisure and tourism : Hotels and hospitality","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Leisure and tourism","Hotels and hospitality","",""
"SL0096","Consumer and retail : Leisure and tourism : Travel","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Leisure and tourism","Travel","",""
"SL0097","Consumer and retail : Luxury","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Luxury","","",""
"SL0098","Consumer and retail : Supermarkets","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Supermarkets","","",""
"SL0099","Consumer and retail : Tableware","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Tableware","","",""
"SL0101","Consumer and retail : Textiles, interior textiles and carpets","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Textiles, interior textiles and carpets","","",""
"SL0107","Consumer and retail : Books, printed media and stationery","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Books, printed media and stationery","","01/04/2021",""
"SL0113","Consumer and retail : Musical instruments","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Musical instruments","","01/04/2021",""
"SL0376","Consumer and retail : Toys","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Toys","","01/04/2021",""
"SL0388","Consumer and retail : eCommerce","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","eCommerce","","01/04/2021",""
"SL0435","Consumer and retail : Clothing, footwear and fashion : Footwear","Services and Skills","Creative, Lifestyle and Learning","Consumer and retail","Clothing, footwear and fashion","Footwear","01/04/2021",""
"SL0102","Creative industries","Services and Skills","Creative, Lifestyle and Learning","Creative industries","","","",""
"SL0103","Creative industries : Advertising","Services and Skills","Creative, Lifestyle and Learning","Creative industries","Advertising","","",""
"SL0104","Creative industries : Animation","Services and Skills","Creative, Lifestyle and Learning","Creative industries","Animation","","",""
"SL0105","Creative industries : Antiques and antiquities","Services and Skills","Creative, Lifestyle and Learning","Creative industries","Antiques and antiquities","","",""
"SL0106","Creative industries : Art","Services and Skills","Creative, Lifestyle and Learning","Creative industries","Art","","",""
"SL0108","Creative industries : Design","Services and Skills","Creative, Lifestyle and Learning","Creative industries","Design","","",""
"SL0109","Creative industries : Design : Industrial design","Services and Skills","Creative, Lifestyle and Learning","Creative industries","Design","Industrial design","",""
