country,sector,service,type,source
Sweden,Creative and Media : Media : Publishing,export_wins,exported,export_wins
Germany,"Agriculture, Horticulture and Fisheries",export_wins,exported,export_wins
France,"Household Goods, Furniture and Furnishings",export_wins,exported,export_wins
Hong Kong,Food and Drink,export_wins,exported,export_wins
India,Business (and Consumer) Services,export_wins,exported,export_wins
Germany,Renewable Energy : Wind : Renewable energy: Wind: Offshore,export_wins,exported,export_wins
Taiwan,"Clothing, Footwear and Fashion",export_wins,exported,export_wins
Germany,"Household Goods, Furniture and Furnishings",export_wins,exported,export_wins
Hungary,Financial Services (including Professional Services) : Banking : Commercial Banking,export_wins,exported,export_wins
Israel,Software and Computer Services Business to Business (B2B) : Financial Applications,export_wins,exported,export_wins
Singapore,Electronics and IT Hardware,export_wins,exported,export_wins
India,Oil and Gas,export_wins,exported,export_wins
United Arab Emirates,Education and Training,export_wins,exported,export_wins
Russia,Automotive : Manufacturing and Assembly,export_wins,exported,export_wins
Jordan,Food and Drink,export_wins,exported,export_wins
Spain,Leisure and Tourism,export_wins,exported,export_wins
Czechia,Creative and Media : Creative and Media Wholesaling : Musical Instruments,export_wins,exported,export_wins
Malaysia,ICT,export_wins,exported,export_wins
Bulgaria,Security,export_wins,exported,export_wins
Japan,Food and Drink : Food and Drink Manufacturing,export_wins,exported,export_wins
Kazakhstan,Oil and Gas,export_wins,exported,export_wins
Germany,Retail,export_wins,exported,export_wins
Ireland,Financial Services (including Professional Services) : Professional Services : Management Consultancy,export_wins,exported,export_wins
Germany,Healthcare and Medical,export_wins,exported,export_wins
Ireland,Advanced Engineering,export_wins,exported,export_wins
United Arab Emirates,"Household Goods, Furniture and Furnishings",export_wins,exported,export_wins
Lithuania,Communications,export_wins,exported,export_wins
China,Advanced Engineering,export_wins,exported,export_wins
France,Chemicals,export_wins,exported,export_wins
South Africa,Financial Services (including Professional Services),export_wins,exported,export_wins
Israel,Financial Services (including Professional Services) : Professional Services,export_wins,exported,export_wins
Australia,"Giftware, Jewellery and Tableware",export_wins,exported,export_wins
Russia,Creative and Media : Media : Publishing,export_wins,exported,export_wins
United Arab Emirates,Creative and Media : Media,export_wins,exported,export_wins
United Arab Emirates,Healthcare and Medical : Healthcare Services : Dentists,export_wins,exported,export_wins
Poland,Environment : Waste Management,export_wins,exported,export_wins
Saudi Arabia,Environment,export_wins,exported,export_wins
Kazakhstan,Oil and Gas,export_wins,exported,export_wins
Thailand,Advanced Engineering,export_wins,exported,export_wins
Sweden,"Giftware, Jewellery and Tableware",export_wins,exported,export_wins
Poland,Advanced Engineering,export_wins,exported,export_wins
Spain,"Agriculture, Horticulture and Fisheries",export_wins,exported,export_wins
India,Advanced Engineering,export_wins,exported,export_wins
Spain,"Agriculture, Horticulture and Fisheries",export_wins,exported,export_wins
Hong Kong,Advanced Engineering,export_wins,exported,export_wins
Qatar,Security,export_wins,exported,export_wins
Germany,Electronics and IT Hardware,export_wins,exported,export_wins
Dominican Republic,Food and Drink : Beverages and Alcoholic Drinks,export_wins,exported,export_wins
Sweden,Security,export_wins,exported,export_wins
Slovakia,Food and Drink : Brewing,export_wins,exported,export_wins
Belgium,Food and Drink,export_wins,exported,export_wins
Hong Kong,Education and Training,export_wins,exported,export_wins
United Arab Emirates,"Metals, Minerals and Materials : Plastics",export_wins,exported,export_wins
Brazil,Oil and Gas,export_wins,exported,export_wins
Ireland,Advanced Engineering,export_wins,exported,export_wins
Hungary,Life Sciences,export_wins,exported,export_wins
Gibraltar,Food and Drink,export_wins,exported,export_wins
France,Creative and Media,export_wins,exported,export_wins
Taiwan,Railways,export_wins,exported,export_wins
Malaysia,Education and Training,export_wins,exported,export_wins
France,Retail,export_wins,exported,export_wins
Germany,Creative and Media,export_wins,exported,export_wins
China,Retail,export_wins,exported,export_wins
Germany,Healthcare and Medical,export_wins,exported,export_wins
Taiwan,Healthcare and Medical,export_wins,exported,export_wins
Hungary,Life Sciences,export_wins,exported,export_wins
Germany,Food and Drink,export_wins,exported,export_wins
France,Retail,export_wins,exported,export_wins
Netherlands,Healthcare and Medical,export_wins,exported,export_wins
Mongolia,Construction,export_wins,exported,export_wins
Germany,"Clothing, Footwear and Fashion",export_wins,exported,export_wins
China,Healthcare and Medical : Medical Consumables,export_wins,exported,export_wins
Russia,"Metals, Minerals and Materials",export_wins,exported,export_wins
Spain,Retail,export_wins,exported,export_wins
Pakistan,Electronics and IT Hardware : Electronics and IT Technologies,export_wins,exported,export_wins
Japan,Retail,export_wins,exported,export_wins
Japan,Biotechnology and Pharmaceuticals,export_wins,exported,export_wins
France,Advanced Engineering,export_wins,exported,export_wins
Germany,Creative and Media : Creative and Media Wholesaling : Musical Instruments,export_wins,exported,export_wins
Lebanon,"Household Goods, Furniture and Furnishings",export_wins,exported,export_wins
Iran,Mechanical Electrical and Process Engineering,export_wins,exported,export_wins
Denmark,Software and Computer Services Business to Business (B2B) : Healthcare Applications,export_wins,exported,export_wins
Bulgaria,Retail,export_wins,exported,export_wins
Norway,Leisure and Tourism,export_wins,exported,export_wins
Australia,Creative and Media,export_wins,exported,export_wins
Norway,Construction,export_wins,exported,export_wins
South Africa,Business (and Consumer) Services,export_wins,exported,export_wins
Poland,Automotive : Component Manufacturing : Electronic Components,export_wins,exported,export_wins
Portugal,Business (and Consumer) Services,export_wins,exported,export_wins
Thailand,Leisure and Tourism,export_wins,exported,export_wins
France,"Household Goods, Furniture and Furnishings",export_wins,exported,export_wins
Norway,Retail,export_wins,exported,export_wins
Russia,Advanced Engineering,export_wins,exported,export_wins
Germany,Business (and Consumer) Services,export_wins,exported,export_wins
Vietnam,Construction,export_wins,exported,export_wins
Poland,Food and Drink : Beverages and Alcoholic Drinks,export_wins,exported,export_wins
Canada,Leisure and Tourism,export_wins,exported,export_wins
United Arab Emirates,Leisure and Tourism,export_wins,exported,export_wins
Denmark,"Giftware, Jewellery and Tableware",export_wins,exported,export_wins
Kazakhstan,Education and Training,export_wins,exported,export_wins
Ireland,Renewable Energy,export_wins,exported,export_wins
Switzerland,Retail,export_wins,exported,export_wins
Ireland,"Giftware, Jewellery and Tableware",export_wins,exported,export_wins
Switzerland,Education and Training,export_wins,exported,export_wins
Portugal,"Clothing, Footwear and Fashion : Clothing",export_wins,exported,export_wins
Kuwait,Electronics and IT Hardware,export_wins,exported,export_wins
Norway,"Household Goods, Furniture and Furnishings",export_wins,exported,export_wins
Netherlands,Defence,export_wins,exported,export_wins
Kuwait,Biotechnology and Pharmaceuticals,export_wins,exported,export_wins
China,Education and Training,export_wins,exported,export_wins
Saudi Arabia,Creative and Media,export_wins,exported,export_wins
Russia,Food and Drink,export_wins,exported,export_wins
China,"Clothing, Footwear and Fashion",export_wins,exported,export_wins
China,Food and Drink : Brewing,export_wins,exported,export_wins
Japan,Financial Services (including Professional Services) : Professional Services,export_wins,exported,export_wins
Nigeria,Financial Services (including Professional Services) : Professional Services : Legal Services,export_wins,exported,export_wins
Sweden,"Household Goods, Furniture and Furnishings",export_wins,exported,export_wins
China,Leisure and Tourism,export_wins,exported,export_wins
Hong Kong,Food and Drink,export_wins,exported,export_wins
Switzerland,Retail,export_wins,exported,export_wins
Nigeria,Education and Training,export_wins,exported,export_wins
Singapore,Marine,export_wins,exported,export_wins
Trinidad and Tobago,Environment and Water,export_wins,exported,export_wins
Qatar,Biotechnology and Pharmaceuticals : Pharmaceuticals : Neutraceuticals,export_wins,exported,export_wins
India,"Agriculture, Horticulture and Fisheries",export_wins,exported,export_wins
Guadeloupe,Leisure and Tourism,export_wins,exported,export_wins
Czechia,Food and Drink,export_wins,exported,export_wins
Guernsey,"Household Goods, Furniture and Furnishings",export_wins,exported,export_wins
Qatar,Education and Training,export_wins,exported,export_wins
United Arab Emirates,Construction,export_wins,exported,export_wins
Oman,Creative and Media,export_wins,exported,export_wins
Philippines,Electronics and IT Hardware : Electronics and IT Technologies,export_wins,exported,export_wins
Oman,Life Sciences,export_wins,exported,export_wins
Hong Kong,Healthcare and Medical,export_wins,exported,export_wins
Ireland,"Agriculture, Horticulture and Fisheries",export_wins,exported,export_wins
Vietnam,ICT,export_wins,exported,export_wins
China,Advanced Engineering,export_wins,exported,export_wins
Czechia,Automotive,export_wins,exported,export_wins
Germany,Environment and Water,export_wins,exported,export_wins
China,Creative and Media : Media : Video Games,export_wins,exported,export_wins
France,Power : Nuclear,export_wins,exported,export_wins
Canada,Food and Drink : Beverages and Alcoholic Drinks,export_wins,exported,export_wins
Spain,Mass Transport,export_wins,exported,export_wins
Ireland,"Giftware, Jewellery and Tableware",export_wins,exported,export_wins
China,Education and Training,export_wins,exported,export_wins
Ireland,Construction,export_wins,exported,export_wins
Sweden,Retail,export_wins,exported,export_wins
Czechia,Food and Drink : Pet Food,export_wins,exported,export_wins
Hong Kong,Retail,export_wins,exported,export_wins
France,"Creative and Media : Art, Design and Creativity : Fashion",export_wins,exported,export_wins
Japan,"Clothing, Footwear and Fashion",export_wins,exported,export_wins
China,Food and Drink : Beverages and Alcoholic Drinks,export_wins,exported,export_wins
Brazil,Oil and Gas,export_wins,exported,export_wins
Saudi Arabia,Construction,export_wins,exported,export_wins
Bulgaria,"Clothing, Footwear and Fashion : Footwear",export_wins,exported,export_wins
Malta,Education and Training,export_wins,exported,export_wins
Netherlands,Financial Services (including Professional Services),export_wins,exported,export_wins
Japan,Food and Drink : Fruit and Vegetables,export_wins,exported,export_wins
Congo,Energy,export_wins,exported,export_wins
France,Food and Drink : Dairy Products,export_wins,exported,export_wins
Russia,Financial Services (including Professional Services) : Professional Services : Legal Services,export_wins,exported,export_wins
Malta,Construction,export_wins,exported,export_wins
Canada,"Agriculture, Horticulture and Fisheries",export_wins,exported,export_wins
Switzerland,Retail,export_wins,exported,export_wins
Singapore,Retail,export_wins,exported,export_wins
France,Retail,export_wins,exported,export_wins
New Zealand,Airports,export_wins,exported,export_wins
Qatar,Creative and Media,export_wins,exported,export_wins
Italy,Food and Drink : Frozen and Chilled Foods,export_wins,exported,export_wins
China,Aerospace,export_wins,exported,export_wins
South Korea,Education and Training,export_wins,exported,export_wins
Australia,"Agriculture, Horticulture and Fisheries",export_wins,exported,export_wins
Taiwan,Creative and Media,export_wins,exported,export_wins
Grenada,Life Sciences,export_wins,exported,export_wins
Australia,Railways,export_wins,exported,export_wins
Spain,Food and Drink : Bakery Products,export_wins,exported,export_wins
Czechia,Education and Training,export_wins,exported,export_wins
New Zealand,Automotive,export_wins,exported,export_wins
Italy,Oil and Gas,export_wins,exported,export_wins
India,Advanced Engineering,export_wins,exported,export_wins
Romania,"Clothing, Footwear and Fashion",export_wins,exported,export_wins
Finland,Food and Drink : Brewing,export_wins,exported,export_wins
Turkmenistan,Business (and Consumer) Services,export_wins,exported,export_wins
Italy,Creative and Media : Media : Music,export_wins,exported,export_wins
Belgium,Leisure and Tourism,export_wins,exported,export_wins
Vietnam,Creative and Media,export_wins,exported,export_wins
Ghana,Food and Drink : Dairy Products,export_wins,exported,export_wins
Japan,Marine,export_wins,exported,export_wins
South Africa,Environment,export_wins,exported,export_wins
Lebanon,Food and Drink,export_wins,exported,export_wins
Italy,Retail,export_wins,exported,export_wins
Austria,"Clothing, Footwear and Fashion",export_wins,exported,export_wins
Japan,"Giftware, Jewellery and Tableware",export_wins,exported,export_wins
Jordan,Creative and Media,export_wins,exported,export_wins
Hong Kong,"Giftware, Jewellery and Tableware",export_wins,exported,export_wins
Finland,Food and Drink : Brewing,export_wins,exported,export_wins
Qatar,Oil and Gas,export_wins,exported,export_wins
Sweden,Retail,export_wins,exported,export_wins
Italy,Education and Training,export_wins,exported,export_wins
France,Creative and Media,export_wins,exported,export_wins
Saudi Arabia,Food and Drink : Beverages and Alcoholic Drinks,export_wins,exported,export_wins
Australia,Construction,export_wins,exported,export_wins
Russia,Mining,export_wins,exported,export_wins
Canada,Defence,export_wins,exported,export_wins
Hong Kong,Retail,export_wins,exported,export_wins
China,"Household Goods, Furniture and Furnishings",export_wins,exported,export_wins
Spain,"Textiles, Interior Textiles and Carpets",export_wins,exported,export_wins
Netherlands,Mechanical Electrical and Process Engineering,export_wins,exported,export_wins
Netherlands,Financial Services (including Professional Services),export_wins,exported,export_wins
